o,c,h,l,v,t
9.8382,9.84,9.84,9.835,31015,1657720800000
9.835,9.835,9.835,9.835,201,1657724400000
9.835,9.84,9.845,9.83,27748,1657738800000
9.84,9.84,9.84,9.84,200,1657814400000
9.845,9.84,9.845,9.83,31400,1657818000000
9.84,9.835,9.84,9.835,300,1657821600000
9.835,9.84,9.845,9.835,7950,1657825200000
9.84,9.84,9.84,9.84,7600,1657893600000
9.84,9.84,9.85,9.84,41406,1657900800000
9.84,9.85,9.855,9.84,69714,1657904400000
9.85,9.85,9.85,9.85,200,1657908000000
9.85,9.84,9.85,9.84,2752,1657911600000
9.8401,9.845,9.85,9.8401,38426,1658152800000
9.84,9.845,9.85,9.84,408507,1658156400000
9.845,9.845,9.845,9.84,46310,1658160000000
9.845,9.845,9.85,9.84,50062,1658163600000
9.845,9.845,9.85,9.84,891965,1658167200000
9.845,9.85,9.85,9.84,493570,1658170800000
9.83,9.835,9.84,9.825,133226,1658239200000
9.83,9.83,9.835,9.83,1798,1658242800000
9.835,9.84,9.845,9.835,16283,1658250000000
9.845,9.845,9.845,9.84,1500,1658253600000
9.845,9.845,9.845,9.845,658,1658257200000
9.84,9.845,9.845,9.84,55160,1658325600000
9.845,9.845,9.845,9.845,496,1658329200000
9.8491,9.8482,9.8491,9.8482,5099,1658332800000
9.85,9.85,9.855,9.85,61065,1658336400000
9.85,9.855,9.86,9.85,51810,1658340000000
9.855,9.86,9.86,9.85,15606,1658343600000
9.85,9.865,9.865,9.85,524242,1658412000000
9.865,9.865,9.88,9.85,3583723.0,1658415600000
9.865,9.87,9.87,9.865,1200,1658419200000
9.87,9.87,9.87,9.86,298781,1658422800000
9.87,9.87,9.87,9.8684,30613,1658426400000
9.87,9.87,9.87,9.865,67442,1658430000000
9.87,9.875,9.88,9.86,536641,1658502000000
9.875,9.8699,9.875,9.8699,2390,1658505600000
9.87,9.87,9.87,9.87,103371,1658509200000
9.86,9.86,9.865,9.86,40634,1658512800000
9.86,9.86,9.87,9.86,20226,1658516400000
9.865,9.8687,9.8687,9.86,3800,1658757600000
9.865,9.87,9.87,9.865,57974,1658761200000
9.87,9.87,9.87,9.87,400,1658764800000
9.865,9.865,9.865,9.865,100,1658772000000
9.865,9.86,9.87,9.86,7677,1658775600000
9.87,9.875,9.88,9.865,129326,1658844000000
9.87,9.87,9.87,9.87,3256,1658847600000
9.87,9.87,9.87,9.87,101,1658851200000
9.87,9.87,9.87,9.87,12661,1658858400000
9.87,9.86,9.87,9.86,17508,1658862000000
9.87,9.87,9.87,9.87,5072,1658930400000
9.87,9.87,9.87,9.87,3821,1658934000000
9.87,9.87,9.87,9.87,4615,1658937600000
9.87,9.87,9.87,9.87,7125,1658941200000
9.87,9.86,9.87,9.86,7030,1658944800000
9.86,9.86,9.87,9.86,87191,1658948400000
9.875,9.865,9.875,9.865,115078,1659016800000
9.865,9.865,9.8699,9.865,49934,1659020400000
9.865,9.865,9.865,9.865,1052,1659024000000
9.865,9.86,9.865,9.86,3702,1659027600000
9.8618,9.865,9.865,9.86,524,1659031200000
9.865,9.86,9.87,9.86,11241,1659034800000
9.87,9.87,9.8799,9.87,2906,1659103200000
9.87,9.8779,9.8779,9.87,3675,1659106800000
9.87,9.87,9.8708,9.87,3440,1659110400000
9.87,9.87,9.875,9.87,3731,1659114000000
9.87,9.86,9.87,9.86,48009,1659117600000
9.86,9.865,9.865,9.86,14814,1659121200000
9.87,9.87,9.87,9.865,55792,1659362400000
9.86,9.86,9.86,9.86,102,1659366000000
9.865,9.86,9.865,9.86,30111,1659369600000
9.86,9.865,9.865,9.86,401,1659373200000
9.865,9.87,9.87,9.865,600,1659376800000
9.86,9.86,9.87,9.86,5013,1659380400000
9.885,9.89,9.895,9.88,549801,1659448800000
9.89,9.885,9.89,9.88,53694,1659452400000
9.885,9.885,9.885,9.885,300,1659456000000
9.885,9.885,9.885,9.885,6150,1659459600000
9.88,9.88,9.88,9.875,27151,1659463200000
9.88,9.87,9.88,9.87,15343,1659466800000
9.87,9.875,9.875,9.87,736,1659538800000
9.88,9.88,9.885,9.875,31464,1659542400000
9.885,9.89,9.89,9.885,27998,1659546000000
9.885,9.885,9.89,9.88,180323,1659549600000
9.885,9.89,9.89,9.88,36569,1659553200000
9.89,9.8801,9.89,9.8801,1789,1659621600000
9.89,9.88,9.89,9.88,1033,1659625200000
9.885,9.88,9.885,9.88,512,1659628800000
9.88,9.89,9.89,9.88,4711,1659636000000
9.88,9.87,9.885,9.87,1066406.0,1659639600000
9.875,9.875,9.875,9.875,202,1659708000000
9.875,9.88,9.89,9.875,79095,1659726000000
9.885,9.88,9.885,9.875,33994,1659970800000
9.88,9.88,9.88,9.87,12401,1659974400000
9.8806,9.8806,9.8806,9.8806,5125,1659978000000
9.885,9.88,9.885,9.88,1520,1659985200000
9.88,9.88,9.88,9.875,53313,1660060800000
9.88,9.8801,9.8801,9.88,312,1660064400000
9.88,9.875,9.8801,9.875,3513,1660068000000
9.88,9.88,9.885,9.875,27012,1660071600000
9.88,9.88,9.88,9.88,100,1660140000000
9.88,9.88,9.885,9.88,140371,1660143600000
9.87,9.87,9.87,9.87,100,1660150800000
9.87,9.87,9.87,9.87,360,1660154400000
9.87,9.87,9.88,9.87,8291,1660158000000
9.88,9.88,9.88,9.88,26526,1660226400000
9.8879,9.89,9.89,9.8879,400,1660233600000
9.88,9.875,9.88,9.87,30996,1660237200000
9.875,9.875,9.875,9.875,300,1660240800000
9.875,9.88,9.88,9.87,86341,1660244400000
9.88,9.8873,9.8873,9.88,121000,1660312800000
9.88,9.885,9.885,9.88,7206,1660316400000
9.88,9.88,9.88,9.88,100,1660320000000
9.88,9.885,9.885,9.88,14371,1660323600000
9.885,9.88,9.885,9.88,614,1660327200000
9.89,9.88,9.89,9.88,10210,1660330800000
9.885,9.88,9.885,9.88,408723,1660575600000
9.88,9.88,9.885,9.88,202630,1660579200000
9.89,9.885,9.89,9.88,111737,1660582800000
9.885,9.885,9.885,9.885,14003,1660586400000
9.885,9.885,9.885,9.88,50190,1660590000000
9.885,9.885,9.885,9.885,420,1660662000000
9.89,9.89,9.89,9.89,830,1660665600000
9.885,9.88,9.885,9.88,5104,1660676400000
9.89,9.89,9.89,9.89,541,1660744800000
9.885,9.885,9.885,9.885,8677,1660752000000
9.885,9.88,9.885,9.87,61660,1660755600000
9.88,9.88,9.88,9.8799,19398,1660759200000
9.88,9.88,9.88,9.88,1893,1660762800000
9.88,9.88,9.88,9.88,99719,1660831200000
9.88,9.88,9.88,9.88,7505,1660834800000
9.88,9.88,9.88,9.88,12609,1660838400000
9.87,9.88,9.88,9.87,816,1660842000000
9.875,9.875,9.875,9.874,1900,1660845600000
9.87,9.87,9.87,9.87,3405,1660849200000
9.88,9.87,9.88,9.87,60900,1660917600000
9.875,9.88,9.88,9.875,1260,1660921200000
9.87,9.87,9.87,9.87,18500,1660924800000
9.87,9.87,9.87,9.87,2165,1660928400000
9.87,9.87,9.87,9.87,189692,1660932000000
9.87,9.87,9.875,9.87,1068844.0,1660935600000
9.875,9.875,9.875,9.875,808,1661176800000
9.875,9.875,9.875,9.875,200,1661184000000
9.87,9.87,9.87,9.87,300,1661191200000
9.87,9.87,9.88,9.87,10717,1661194800000
9.8707,9.87,9.8707,9.87,51012,1661277600000
9.87,9.87,9.87,9.87,140,1661281200000
9.885,9.88,9.885,9.87,120410,1661349600000
9.885,9.88,9.885,9.87,280671,1661353200000
9.875,9.871,9.875,9.871,5000,1661356800000
9.88,9.88,9.88,9.88,20100,1661360400000
9.88,9.88,9.88,9.87,23200,1661364000000
9.88,9.88,9.88,9.87,77279,1661367600000
9.88,9.88,9.88,9.88,22500,1661436000000
9.88,9.88,9.88,9.88,160,1661439600000
9.88,9.89,9.89,9.88,110396,1661443200000
9.89,9.895,9.895,9.885,71534,1661446800000
9.89,9.89,9.89,9.89,700,1661450400000
9.89,9.9,9.9,9.89,12425,1661454000000
9.8915,9.8915,9.8915,9.8915,2040,1661522400000
9.895,9.895,9.895,9.89,510,1661526000000
9.9,9.9,9.9,9.9,171,1661529600000
9.895,9.89,9.895,9.89,310,1661533200000
9.895,9.9,9.9,9.89,17901,1661536800000
9.9,9.91,9.91,9.9,72460,1661540400000
9.895,9.9,9.9,9.89,272728,1661781600000
9.9,9.905,9.915,9.9,299207,1661785200000
9.905,9.91,9.91,9.905,800,1661788800000
9.9,9.905,9.907,9.9,1651,1661792400000
9.905,9.905,9.905,9.905,6332,1661796000000
9.91,9.9,9.91,9.9,9577,1661799600000
9.9001,9.91,9.91,9.9,11200,1661868000000
9.91,9.9,9.91,9.9,6400,1661871600000
9.91,9.91,9.91,9.91,100,1661875200000
9.91,9.9,9.91,9.9,27827,1661878800000
9.9,9.9,9.9,9.9,510,1661882400000
9.9,9.91,9.91,9.89,57683,1661886000000
9.9,9.89,9.9,9.89,1300,1661954400000
9.9,9.895,9.9,9.89,116604,1661958000000
9.895,9.895,9.9,9.895,11910,1661961600000
9.895,9.9,9.9,9.895,6362,1661965200000
9.895,9.895,9.905,9.895,67969,1661968800000
9.9,9.91,9.91,9.895,76542,1661972400000
9.905,9.9,9.905,9.9,29165,1662040800000
9.9,9.9,9.9,9.9,300,1662044400000
9.89,9.895,9.895,9.89,310,1662051600000
9.89,9.895,9.9,9.89,25604,1662055200000
9.8916,9.89,9.895,9.89,21329,1662058800000
9.9,9.89,9.9,9.89,1026,1662127200000
9.89,9.89,9.89,9.89,117,1662130800000
9.895,9.895,9.895,9.89,822,1662138000000
9.895,9.895,9.9,9.89,1201,1662141600000
9.895,9.89,9.895,9.89,8275,1662145200000
9.905,9.905,9.905,9.9,15122,1662472800000
9.905,9.905,9.905,9.905,400,1662476400000
9.9,9.91,9.91,9.9,631,1662480000000
9.91,9.905,9.91,9.9,1100,1662483600000
9.905,9.9,9.91,9.9,14962,1662487200000
9.9,9.905,9.91,9.9,23010,1662490800000
9.91,9.91,9.915,9.91,50083,1662559200000
9.915,9.915,9.915,9.915,407,1662562800000
9.915,9.915,9.915,9.915,540,1662566400000
9.91,9.91,9.915,9.91,52610,1662570000000
9.91,9.91,9.91,9.91,1240,1662573600000
9.91,9.91,9.915,9.91,13553,1662577200000
9.91,9.92,9.92,9.91,101400,1662645600000
9.91,9.91,9.915,9.905,191676,1662649200000
9.91,9.91,9.91,9.91,506,1662652800000
9.91,9.91,9.92,9.91,29471,1662656400000
9.91,9.91,9.9175,9.91,3411,1662660000000
9.91,9.91,9.92,9.91,42188,1662663600000
9.915,9.915,9.915,9.915,600,1662732000000
9.91,9.91,9.91,9.91,100,1662735600000
9.915,9.915,9.915,9.915,400,1662739200000
9.91,9.915,9.92,9.91,26434,1662742800000
9.915,9.915,9.92,9.915,2010,1662746400000
9.915,9.915,9.92,9.91,11237,1662750000000
9.91,9.91,9.91,9.91,1000,1662991200000
9.91,9.915,9.915,9.905,913251,1662998400000
9.915,9.915,9.915,9.915,300,1663002000000
9.915,9.91,9.92,9.91,321646,1663005600000
9.92,9.915,9.92,9.915,16249,1663009200000
9.91,9.91,9.91,9.91,200,1663077600000
9.915,9.91,9.915,9.91,50300,1663081200000
9.915,9.92,9.92,9.91,380738,1663084800000
9.92,9.93,9.93,9.92,248643,1663088400000
9.92,9.92,9.93,9.915,640671,1663092000000
9.92,9.93,9.93,9.92,17606,1663095600000
9.925,9.925,9.925,9.925,300,1663167600000
9.925,9.925,9.925,9.925,1754,1663171200000
9.925,9.925,9.925,9.925,2233,1663174800000
9.925,9.92,9.925,9.92,3033,1663178400000
9.92,9.92,9.925,9.92,11460,1663182000000
9.925,9.925,9.93,9.925,12613,1663250400000
9.93,9.93,9.93,9.93,247,1663257600000
9.92,9.93,9.93,9.92,54184,1663264800000
9.93,9.93,9.94,9.925,113586,1663268400000
9.925,9.925,9.925,9.92,48534,1663336800000
9.92,9.92,9.92,9.92,244,1663340400000
9.925,9.93,9.93,9.925,600,1663347600000
9.925,9.93,9.93,9.925,8756,1663354800000
9.925,9.925,9.925,9.925,101,1663596000000
9.93,9.93,9.94,9.92,297200,1663599600000
9.93,9.935,9.935,9.93,709100,1663603200000
9.935,9.93,9.935,9.93,110631,1663606800000
9.93,9.93,9.935,9.93,103337,1663614000000
9.93,9.93,9.93,9.93,20500,1663682400000
9.9307,9.9307,9.9307,9.9307,400,1663689600000
9.9314,9.9314,9.9314,9.9314,100,1663693200000
9.93,9.93,9.935,9.925,106519,1663696800000
9.93,9.93,9.94,9.93,93106,1663700400000
9.9385,9.9385,9.9385,9.9385,929,1663768800000
9.9386,9.935,9.9386,9.93,31496,1663772400000
9.935,9.935,9.935,9.935,300,1663776000000
9.94,9.94,9.94,9.93,171550,1663783200000
9.935,9.94,9.94,9.93,145988,1663786800000
9.935,9.935,9.935,9.935,12400,1663855200000
9.9386,9.9322,9.9386,9.9322,201,1663858800000
9.935,9.94,9.94,9.93,7486,1663862400000
9.93,9.94,9.94,9.93,400000,1663866000000
9.935,9.94,9.95,9.935,72434,1663873200000
9.93,9.93,9.93,9.93,205,1663941600000
9.93,9.93,9.93,9.92,1737,1663945200000
9.93,9.93,9.93,9.9211,1330,1663948800000
9.92,9.93,9.93,9.92,126232,1663952400000
9.93,9.925,9.93,9.925,1841,1663956000000
9.92,9.915,9.92,9.9125,144456,1663959600000
9.915,9.92,9.92,9.91,113878,1664204400000
9.93,9.92,9.93,9.92,700,1664208000000
9.9205,9.925,9.93,9.92,13002,1664211600000
9.93,9.92,9.93,9.91,222371,1664215200000
9.93,9.92,9.93,9.915,16990,1664218800000
9.92,9.92,9.92,9.92,102370,1664287200000
9.925,9.925,9.925,9.925,100,1664290800000
9.925,9.925,9.925,9.925,100,1664294400000
9.925,9.925,9.93,9.925,500,1664298000000
9.92,9.92,9.925,9.92,8200,1664301600000
9.925,9.925,9.93,9.92,1401,1664305200000
9.925,9.92,9.925,9.92,7964,1664373600000
9.92,9.92,9.9201,9.92,4820,1664377200000
9.92,9.92,9.92,9.92,300,1664380800000
9.925,9.925,9.925,9.925,120,1664384400000
9.92,9.925,9.925,9.92,3215,1664391600000
9.92,9.927,9.927,9.915,632470,1664460000000
9.92,9.93,9.93,9.92,468,1664463600000
9.925,9.925,9.925,9.925,100,1664467200000
9.925,9.92,9.925,9.92,201200,1664470800000
9.92,9.925,9.925,9.92,300,1664474400000
9.93,9.92,9.93,9.92,10881,1664478000000
9.925,9.93,9.93,9.92,10803,1664553600000
9.93,9.93,9.93,9.92,11552,1664564400000
9.935,9.935,9.94,9.935,59426,1664812800000
9.935,9.935,9.935,9.935,1033,1664816400000
9.935,9.93,9.94,9.93,15779,1664820000000
9.93,9.93,9.94,9.93,217688,1664823600000
9.94,9.94,9.94,9.935,596571,1664892000000
9.94,9.94,9.95,9.925,974406,1664895600000
9.94,9.94,9.94,9.94,200400,1664902800000
9.945,9.95,9.95,9.944,13675,1664906400000
9.95,9.95,9.95,9.94,26183,1664910000000
9.945,9.94,9.95,9.94,407007,1664978400000
9.94,9.94,9.94,9.94,100,1664982000000
9.94,9.94,9.94,9.94,100,1664985600000
9.94,9.94,9.94,9.94,100,1664989200000
9.9441,9.94,9.9441,9.94,1810,1664992800000
9.95,9.95,9.95,9.94,3681,1664996400000
9.95,9.945,9.95,9.94,501128,1665064800000
9.95,9.95,9.95,9.95,700,1665068400000
9.945,9.945,9.95,9.94,14229,1665075600000
9.94,9.94,9.95,9.94,1408,1665079200000
9.94,9.94,9.945,9.93,21175,1665082800000
9.95,9.95,9.95,9.95,200,1665151200000
9.95,9.95,9.95,9.95,201,1665154800000
9.95,9.945,9.95,9.945,207,1665158400000
9.944,9.95,9.95,9.944,300,1665165600000
9.95,9.94,9.95,9.94,8131,1665169200000
9.95,9.95,9.95,9.95,100,1665424800000
9.95,9.955,9.955,9.95,1978,1665428400000
9.94,9.94,9.945,9.94,66668,1665496800000
9.94,9.94,9.94,9.94,100,1665500400000
9.945,9.96,9.96,9.945,38695,1665507600000
9.955,9.955,9.955,9.95,15107,1665511200000
9.955,9.96,9.96,9.95,3225,1665514800000
9.955,9.96,9.96,9.955,1000,1665583200000
9.95,9.95,9.95,9.95,203,1665590400000
9.955,9.955,9.955,9.955,600,1665594000000
9.95,9.95,9.95,9.95,100,1665597600000
9.955,9.96,9.96,9.95,8708,1665601200000
9.9491,9.9494,9.95,9.945,31601,1665669600000
9.945,9.94,9.945,9.94,876,1665673200000
9.95,9.95,9.95,9.9458,11900,1665676800000
9.95,9.94,9.95,9.94,11060,1665680400000
9.945,9.935,9.945,9.935,12560,1665684000000
9.94,9.945,9.95,9.94,14158,1665687600000
9.945,9.945,9.945,9.945,100,1665759600000
9.945,9.94,9.945,9.94,13101,1665763200000
9.94,9.94,9.94,9.94,100,1665766800000
9.945,9.94,9.945,9.94,12219,1665774000000
9.94,9.945,9.945,9.94,3356,1666015200000
9.94,9.94,9.94,9.94,200,1666018800000
9.94,9.9401,9.9409,9.94,500,1666022400000
9.945,9.945,9.945,9.945,2311,1666026000000
9.9425,9.9425,9.9425,9.94,300,1666029600000
9.945,9.95,9.95,9.94,2062,1666033200000
9.95,9.955,9.955,9.95,2987,1666101600000
9.955,9.955,9.955,9.955,200,1666116000000
9.955,9.95,9.96,9.95,8446,1666119600000
9.955,9.955,9.955,9.955,885,1666191600000
9.9516,9.9516,9.9516,9.9516,6650,1666198800000
9.955,9.955,9.955,9.955,300,1666202400000
9.955,9.95,9.955,9.95,943,1666206000000
9.94,9.94,9.94,9.94,100,1666285200000
9.94,9.94,9.94,9.94,100,1666288800000
9.95,9.945,9.9575,9.94,1646,1666292400000
9.95,9.955,9.96,9.94,28939,1666364400000
9.95,9.95,9.95,9.95,722,1666368000000
9.95,9.9401,9.955,9.94,9366,1666371600000
9.94,9.96,9.96,9.94,57497,1666375200000
9.96,9.95,9.96,9.95,5110,1666378800000
9.96,9.96,9.96,9.96,3100,1666620000000
9.96,9.96,9.96,9.96,100,1666623600000
9.965,9.965,9.965,9.965,100,1666634400000
9.96,9.96,9.965,9.96,11287,1666638000000
9.965,9.965,9.97,9.9601,11547,1666713600000
9.965,9.97,9.97,9.96,18330,1666720800000
9.96,9.96,9.97,9.96,9701,1666724400000
9.97,9.97,9.97,9.97,5000,1666792800000
9.97,9.97,9.97,9.97,200,1666796400000
9.975,9.97,9.975,9.97,851,1666800000000
9.975,9.975,9.975,9.975,100,1666803600000
9.97,9.975,9.975,9.97,1587,1666810800000
9.9738,9.97,9.98,9.97,15169,1666897200000
9.975,9.97,9.975,9.97,2340,1666969200000
9.97,9.97,9.97,9.97,5387,1666972800000
9.97,9.97,9.975,9.97,6728,1666976400000
9.97,9.97,9.97,9.97,10271,1666980000000
9.97,9.97,9.975,9.97,14456,1666983600000
9.975,9.9779,9.9779,9.97,2795,1667224800000
9.97,9.97,9.97,9.97,4003,1667228400000
9.97,9.97,9.97,9.97,1881,1667232000000
9.97,9.97,9.975,9.97,2075,1667235600000
9.97,9.97,9.97,9.97,1857,1667239200000
9.97,9.975,9.975,9.97,4486,1667242800000
9.97,9.97,9.975,9.97,99897,1667311200000
9.97,9.97,9.975,9.97,1936,1667314800000
9.97,9.97,9.97,9.97,1324,1667318400000
